Study,Year,Citation,doi,Study Number,City,Province_State,Country,Location,Genus,Species,Common Name,Sub-common name,Water (Fresh/Salt/Anadromous/Estuarine),LS,Lifestage,Group,Concentration,Duration,SEV_old,SEV,Response,Habitat_Related,Database,Comments
Vinyard and Yuan,1996,"Vinyard, & Yuan, A. C. (1996). Effects of turbidity on feeding rates of lahontan cutthroat trout (oncorhynchus clarki henshawi) and lahontan redside shiner (richardsonius egregius) M.L. Bean Life Science Museum, Brigham Young University. https://www.jstor.org/stable/41716185",,1,Humboldt County,Nevada,USA,Mahogany Creek,Richardsonius,egregius,Shiner,Redside,F,Not Specified,NS,AN,30,24,4,4,Reduction in feeding,No,New,3:1 TSS:NTU ratio used
Wilkens,2015,"Wilkens, Katzenmeyer, A. W., Hahn, N. M., Hoover, J. J., & Suedel, B. C. (2015). Laboratory test of suspended sediment effects on short-term survival and swimming performance of juvenile atlantic sturgeon (acipenser oxyrinchus oxyrinchus, mitchill, 1815) Blackwell Publishing.",10.1111/jai.12875,1,NA,South Carolina,USA,Bear's Bluff National Fish Hatchery,Acipenser,oxyrinchus,Sturgeon,Atlantic,E,Juvenile,J,JN,250,72,10,10,4% Mortality,No,New,
Zamor,2007,"Zamor, R. M., & Grossman, G. D. (01/2007). Turbidity affects foraging success of drift-feeding rosyside dace American Fisheries Society.",10.1577/T05-316.1,1,NA,North Carolina,USA,Coweeta Creek,Clinostomus,funduloides,Dace,Rosyside,F,Adult,A,AN,30,2,4,4,Reduction in feeding success,No,New,3:1 TSS:NTU ratio used
Suchanek,1984,"Suchanek, P. M., R. L. Sundet, and M. N. Wenger. 1984h. Resident fish habitat studies. Alaska Department of Fish and Game. Susitna Hydro Aquatic Studies, 1984 Report 2, Part 6. Anchorage. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,,F,Adult,A,AS,100,0.1,3,3,Avoided turbid water,No,Old,
McLeay,1984,"McLeay, D. J.. G. L. Ennis, I. K. Birtwell. and G. F. Hartman. 1984. Effects on Arctic grayling (Thymallus arcticus) of prolonged exposure to Yukon placer mining sediment: laboratory study. Canadian Technical Report of Fisheries and Aquatic Sciences 1241. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,,F,Adult,A,AS,100,1008,8,8,Decreased resistance to environmental stresses,No,Old,
McLeay,1984,"McLeay, D. J.. G. L. Ennis, I. K. Birtwell. and G. F. Hartman. 1984. Effects on Arctic grayling (Thymallus arcticus) of prolonged exposure to Yukon placer mining sediment: laboratory study. Canadian Technical Report of Fisheries and Aquatic Sciences 1241. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,,F,Adult,A,AS,100,1008,9,9,Impaired feeding,No,Old,
McLeay,1984,"McLeay, D. J.. G. L. Ennis, I. K. Birtwell. and G. F. Hartman. 1984. Effects on Arctic grayling (Thymallus arcticus) of prolonged exposure to Yukon placer mining sediment: laboratory study. Canadian Technical Report of Fisheries and Aquatic Sciences 1241. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,,F,Adult,A,AS,100,1008,9,9,Reduced growth,No,Old,
Phillips,1970,"Phillips. R. W. 1970. Effects of sediment on the gravel environment and rish production. Pages 64-74 in Proceedings of the symposium on forest land use and stream environment. Oregon State University, Continuing Education Publications. Corvallis. Oregon. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,,,Salmon,,A,Adult,A,AS,25,4,4,4,Feeding activity reduced,No,Old,
Townsend,1983,"Townsend, A. H. 1983. Sport fishing—placer mining: Chatanika River. Memorandum to Director B. Baker. Habitat Division, Alaska Department of Fish and Game, February 2, 1983, Juneau. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,,,Salmon,,A,Adult,A,AS,16.5,24,4,4,Feeding behavior apparently reduced,No,Old,
Coats,1985,"Coats. R., L. Collins, J. Florsheim. and D. Kaufman. 1985. Channel change, sediment transport, and fish habitat in a coastal stream: effects of an extreme event. Environmental Management 9:35-48. Cited by Newcombe and Jensen (1996).",,1,Santa Cruz County,California,USA,San Lorenzo River,,,Salmon,,A,Adult,A,AS,1650,240,7,7,Loss of habitat caused by excessive sediment transport,Yes,Old,Habitat related
Slaney,1977,"Slaney, P. A., T. G. Halsey. and H. A. Smith. 1977a. Some effects of forest harvesting on salmonid rearing habitat in two streams in the central interior of British Columbia. British Columbia Ministry of Recreation and Conservation, Fish and Wildlife. Cited by Newcombe and Jensen (1996).",,1,NA,British Columbia,Canada,Centennial Creek,,,Salmon,,A,Adult,A,AS,75,168,7,7,Reduced quality of rearing habitat,Yes,Old,Habitat related
Hamilton,1961,Hamilton. J. D. 1961. The effect of sand-pit washings on a stream fauna. Internationale Vereinigung fiir theoretische und angewandte Limnologie Verhandlungen 14:435-439. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,,,Salmon,,A,Adult,A,AS,210,24,10,10,Fish abandoned their traditional spawning habitat,Yes,Old,
Gibson,1933,Citation unavailable. Cited by Newcombe and Jensen (1996).,,1,NA,NA,Wales,NA,Salmo,salar,Salmon,Atlantic,A,Adult,A,AS,2500,24,10,10,Increased risk of predation,No,Old,
Brannon,1981,"Brannon. E. L., R. P. Whitman, and T. P. Quinn. 1981. Report on the influence of suspended volcanic ash on the homing behavior of adult chinook salmon (Oncorhynchux tshawyischa). Final Report to Washington State University. Washington Water Research Center, Pullman. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Adult,A,AS,650,168,5,5,No histological signs of damage to olfactory epithelium,No,Old,
Whitman,1982,"Whitman. R. P.. T. P. Quinn, and E. L. Brannon. 1982. Influence of suspended volcanic ash on homing behavior of adult chinook salmon. Transactions of the American Fisheries Society 111:63-69. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Adult,A,AS,350,0.17,7,4,Home wter preference disrupted,No,Modified,"Old analysis category: 7 - ""Home water preference disrupted"""
Whitman,1982,"Whitman. R. P.. T. P. Quinn, and E. L. Brannon. 1982. Influence of suspended volcanic ash on homing behavior of adult chinook salmon. Transactions of the American Fisheries Society 111:63-69. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Adult,A,AS,650,168,7,4,"Homing behaviour normal, but fewer test fish returned",No,Modified,"Old analysis category: 7 - ""Homing behaviour normal, but fewer fish returned"""
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Adult,A,AS,39300,24,10,10,No mortality,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Adult,A,AS,82400,6,12,12,Mortality rate 60%,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Adult,A,AS,207000,1,14,14,Mortality rate 100%,No,Old,
Griffin,1938,"Griffin, L. E. 1938. Experiments on the tolerance of young trout and salmon for suspended sediment in water. Oregon Department of Geology and Mineral Industries Bulletin 10 (Appendix B):28~31. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,,,Salmon,Pacific,A,Adult,A,AS,525,588,10,10,No mortality (other endpoints not investigated),No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96: 254-264. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,A,Adult,A,AS,500,96,8,6,Plasma glucose levels increased 39%,No,Old,Old analysis category:8
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96: 254-264. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,A,Adult,A,AS,1500,96,8,6,Plasma glucose levels increased 150%,No,Old,Old analysis category:9
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,nerka,Salmon,Sockeye,A,Adult,A,AS,39300,24,10,10,No mortality,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,nerka,Salmon,Sockeye,A,Adult,A,AS,82400,6,12,12,Mortality rate 60%,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,nerka,Salmon,Sockeye,A,Adult,A,AS,207000,1,14,14,Mortality rate 100%,No,Old,
Swenson,1978,"Swenson, W. A. 1978. Influence of turbidity on fish abundance in western Lake Superior. U. S. Environmental Protection Agency. National Environmental Research Center. Ecological Research Series EPA 600/3-78-067. Cited by Newcombe and Jensen (1996).",,1,NA,Wisconsin,USA,Lake Superior,Osmerus,mordax,Smelt,Rainbow,A,Adult,A,AS,3.5,168,7,6,Increased vulnerability to predation,No,Old,"Old analysis category: 7 ""Increased vulnerability to predation"""
Redding and Schreck,1982,"Redding. J. M.. and C. B. Schreck. 1982. Mount St. Helens ash causes sublethal stress responses in steclhead trout. Pages 300-307 in Ml. St. Helens: effects on water resources. Washington State University, Washington Water Research Center, Report 41, Pullman. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,mykiss,Salmon,Steelhead,A,Adult,A,AS,500,3,5,5,Signs of sublethal stress,No,Old,
Coats,1985,"Coats. R., L. Collins, J. Florsheim. and D. Kaufman. 1985. Channel change, sediment transport, and fish habitat in a coastal stream: effects of an extreme event. Environmental Management 9:35-48. Cited by Newcombe and Jensen (1996).",,1,Santa Cruz County,California,USA,San Lorenzo River,Oncorhynchus,mykiss,Salmon,Steelhead,A,Adult,A,AS,1650,240,7,7,Loss of habitat caused by excessive sediment transport,Yes,Old,Habitat related
Redding and Schreck,1982,"Redding. J. M.. and C. B. Schreck. 1982. Mount St. Helens ash causes sublethal stress responses in steclhead trout. Pages 300-307 in Ml. St. Helens: effects on water resources. Washington State University, Washington Water Research Center, Report 41, Pullman. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,mykiss,Salmon,Steelhead,A,Adult,A,AS,500,9,8,8,Blood cell count and blood chemistry change,No,Old,
Townsend,1983,"Townsend, A. H. 1983. Sport fishing—placer mining: Chatanika River. Memorandum to Director B. Baker. Habitat Division, Alaska Department of Fish and Game, February 2, 1983, Juneau. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,,,Trout,,,Adult,A,AS,16.5,24,4,4,Feeding behavior apparently reduced,No,Old,
Slaney,1977,"Slaney, P. A., T. G. Halsey. and H. A. Smith. 1977a. Some effects of forest harvesting on salmonid rearing habitat in two streams in the central interior of British Columbia. British Columbia Ministry of Recreation and Conservation, Fish and Wildlife. Cited by Newcombe and Jensen (1996).",,2,NA,British Columbia,Canada,NA,,,Trout,,,Adult,A,AS,75,168,7,7,Reduced quality of rearing habitat,Yes,Old,Habitat related
Herbert and Merkens,1961,"Herbert, D. M. W., and J. C. Merkens. 1961. The effect of suspended mineral solids on the survival of trout. International Journal of Air and Water Pollution 5: 46-55. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,,,Trout,,,Adult,A,AS,270,312,8,8,Gill tissue damaged,No,Old,
Griffin,1938,"Griffin, L. E. 1938. Experiments on the tolerance of young trout and salmon for suspended sediment in water. Oregon Department of Geology and Mineral Industries Bulletin 10 (Appendix B):28~31. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,,,Trout,,,Adult,A,AS,525,588,10,10,No mortality (other endpoints not investigated),No,Old,
Peters,1967,"Peters, J. C. 1967. Effects on a trout stream of sediment from agricultural practices. Journal of Wildlife Management 31:805-812. Cited by Newcombe and Jensen (1996).",,1,Fromberg,Montana,USA,Bluewater Creek,,,Trout,,,Adult,A,AS,300,720,12,12,Decrease in population size,No,Old,
Gradall and Swenson,1982,"Gradall, K. S., and W. A. Swenson. 1982. Responses of brook trout and creek chubs to turbidity. Transactions of the American Fisheries Society 111:392-395. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Salvelinus,fontinalis,Trout,Brook,,Adult,A,AS,4.5,168,3,3,Fish more active and less dependent on cover,No,Old,
Herbert,1961,"Herbert, D. W. M.. J. S. Alabaster. M. C. Dart, and R. Lloyd. 1961. The effect of china-clay wastes on trout streams. International Journal of Air and Water Pollution 5:56-74. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Salmo,trutta,Trout,Brown,,Adult,A,AS,1040,17520,8,8,Gill lamellae thickened,No,Old,
Herbert,1961,"Herbert, D. W. M.. J. S. Alabaster. M. C. Dart, and R. Lloyd. 1961. The effect of china-clay wastes on trout streams. International Journal of Air and Water Pollution 5:56-74. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Salmo,trutta,Trout,Brown,,Adult,A,AS,1210,17520,8,8,Some gill lamellae became fused,No,Old,
Peters,1967,"Peters, J. C. 1967. Effects on a trout stream of sediment from agricultural practices. Journal of Wildlife Management 31:805-812. Cited by Newcombe and Jensen (1996).",,1,Fromberg,Montana,USA,Bluewater Creek,,trutta,Trout,Brown,,Adult,A,AS,18,720,10,10,Abundance reduced,No,Old,
Scullion and Edwards,1980,"Scullion, J.. and R. W. Edwards. 1980. The effects of pollutants from the coal industry on fish fauna of a small river in the South Wales coalfield. Environmental Pollution Series A 21:141-153. Cited by Newcombe and Jensen (1996).",,1,NA,NA,Wales,River Taff,Salmo,trutta,Trout,Brown,,Adult,A,AS,100,720,11,11,Population reduced,No,Old,
